    #parametro     lambda_01     lambda_02     lambda_03
      2.568875      2.246609     -0.000050    -11.815434
      2.569000      2.149135     -0.000087    -11.718048
      2.569125      2.224658      0.001324    -11.795108
      2.569250      2.181609     -0.000973    -11.749885
      2.569375      2.212796      0.000335    -11.782506
      2.569500      2.238867     -0.001892    -11.806475
      2.569625      2.273138      0.000024    -11.842788
      2.569750      2.228229     -0.000607    -11.797372
      2.569875      2.273778     -0.001236    -11.842417
      2.570000      2.244268      0.000939    -11.815206
      2.570125      2.155373      0.001112    -11.726610
      2.570250      2.241989     -0.002404    -11.809834
      2.570375      2.219713     -0.001166    -11.788922
      2.570500      2.218536     -0.002104    -11.786931
      2.570625      2.194719      0.000293    -11.765636
      2.570750      2.162987      0.000063    -11.733800
      2.570875      2.208494     -0.000259    -11.779110
      2.571000      2.279743     -0.002750    -11.847993
      2.571125      2.194034      0.000447    -11.765606
      2.571250      2.264815      0.000737    -11.836801
      2.571375      2.240715     -0.001908    -11.810182
      2.571500      2.202319      0.000064    -11.773883
      2.571625      2.277849     -0.000389    -11.849086
      2.571750      2.250840     -0.000265    -11.822326
      2.571875      2.243689      0.002160    -11.817724
      2.572000      2.245563     -0.000876    -11.816687
      2.572125      2.266744     -0.001383    -11.837486
      2.572250      2.218994     -0.000889    -11.790355
      2.572375      2.233687     -0.000452    -11.805610
      2.572500      2.258274     -0.000983    -11.829791
      2.572625      2.268741      0.000652    -11.842018
      2.572750      2.235808     -0.000009    -11.808549
      2.572875      2.243334     -0.000769    -11.815440
      2.573000      2.232489     -0.000828    -11.804660
      2.573125      2.234737     -0.002452    -11.805410
      2.573250      2.209401      0.003377    -11.786028
      2.573375      2.269123      0.000931    -11.843429
      2.573500      2.224360      0.000591    -11.798452
      2.573625      2.249362     -0.001436    -11.821551
      2.573750      2.217300     -0.000941    -11.790110
      2.573875      2.252346     -0.001837    -11.824383
      2.574000      2.298059     -0.000942    -11.871117
      2.574125      2.270038      0.000132    -11.844295
      2.574250      2.289226      0.005353    -11.868829
      2.574375      2.239437      0.002217    -11.816029
      2.574500      2.295549     -0.001009    -11.869041
      2.574625      2.268015     -0.000643    -11.841997
      2.574750      2.328090     -0.000300    -11.902540
      2.574875      2.269136     -0.000220    -11.843790
      2.575000      2.241144     -0.000307    -11.815837
      2.575125      2.251742     -0.001924    -11.824944
      2.575250      2.193122     -0.000865    -11.767507
      2.575375      2.241603      0.000404    -11.817382
      2.575500      2.243101      0.000535    -11.819137
      2.575625      2.271268      0.000655    -11.847548
      2.575750      2.305031     -0.000304    -11.880477
      2.575875      2.302197      0.001366    -11.879438
      2.576000      2.176563      0.001000    -11.753563
      2.576125      2.257497      0.000880    -11.834502
      2.576250      2.250206     -0.000661    -11.825795
      2.576375      2.284615      0.001304    -11.862294
      2.576500      2.272441      0.001400    -11.850341
      2.576625      2.326870     -0.000161    -11.903334
      2.576750      2.311609      0.000247    -11.888606
      2.576875      2.308664      0.001914    -11.887453
